City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Bredasdorp,ZA,-34.5322,20.0403,69.12,73,92,14.97,overcast clouds
130,Clovis,US,36.8252,-119.7029,82.47,32,40,3.44,scattered clouds
131,Carnarvon,AU,-24.8667,113.6333,77.07,88,3,5.75,clear sky
132,Malanje,AO,-9.5402,16.341,65.17,92,100,6.02,light rain
133,Mahon,ES,39.8885,4.2658,52.36,82,40,6.91,scattered clouds
134,Walvis Bay,NA,-22.9575,14.5053,76.15,78,4,3.44,light rain
135,Augusto Correa,BR,-1.0217,-46.635,78.26,89,100,4.56,moderate rain
136,Tilichiki,RU,60.4667,166.1,-19.52,93,7,9.84,clear sky
137,Chico,US,39.7285,-121.8375,72.68,45,13,2.17,few clouds
138,Tommot,RU,58.9564,126.2925,-25.64,100,99,0.94,overcast clouds
139,Sulmona,IT,42.0479,13.9291,50.05,90,100,3.65,overcast clouds
140,Saint-Augustin,CA,51.226,-58.6502,1.92,75,1,11.39,clear sky
141,Amapa,BR,1.0,-52.0,79.14,93,100,3.51,moderate rain
142,Ormara,PK,25.2088,64.6357,70.95,72,5,10.78,clear sky
143,Myitkyina,MM,25.3833,97.4,52.2,71,0,2.75,clear sky
144,Ribeira Grande,PT,38.5167,-28.7,59.4,67,40,5.75,scattered clouds
145,College,US,64.8569,-147.8028,13.8,84,100,0.0,light snow
146,Komsomolskiy,UZ,40.4272,71.7189,38.12,87,75,4.61,mist
147,Narsaq,GL,60.9167,-46.05,24.33,90,100,7.0,overcast clouds
148,Basco,PH,20.4487,121.9702,77.02,82,98,11.83,overcast clouds
149,Pitlochry,GB,56.7051,-3.7343,41.63,97,100,5.26,moderate rain
150,Gornozavodsk,RU,58.3758,58.3211,14.07,98,100,3.4,overcast clouds
151,Nyurba,RU,63.2842,118.3319,-22.23,100,98,1.34,overcast clouds
152,Coquimbo,CL,-29.9533,-71.3436,73.13,53,0,13.8,clear sky
153,Nkhotakota,MW,-12.9274,34.2961,72.09,90,100,5.5,light rain
154,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,67,20,10.36,few clouds
155,Natal,BR,-5.795,-35.2094,88.45,74,40,14.97,scattered clouds
156,High Rock,BS,26.6208,-78.2833,72.39,87,100,14.56,overcast clouds
157,Moose Factory,CA,51.2585,-80.6094,2.01,76,99,5.75,overcast clouds
158,Lavrentiya,RU,65.5833,-171.0,-22.0,93,25,2.86,scattered clouds
159,Zhirnovsk,RU,50.9845,44.7735,12.58,98,49,7.05,scattered clouds
160,Sinnamary,GF,5.3833,-52.95,78.8,86,67,9.57,broken clouds
161,Iskateley,RU,67.6803,53.1512,-0.09,98,60,8.14,broken clouds
162,Constitucion,CL,-35.3333,-72.4167,67.98,70,53,9.31,broken clouds
163,Vao,NC,-22.6667,167.4833,79.57,85,100,7.85,overcast clouds
164,Vila Velha,BR,-20.3297,-40.2925,79.95,83,93,8.01,overcast clouds
